ts_iso,custom_header,qname,answers,source,ok
2025-09-15T11:29:07+05:30,11290700,apple.com.,192.168.1.1,custom_header_morning,True
2025-09-15T11:29:07+05:30,11290701,_apple-mobdev._tcp.local.,192.168.1.2,custom_header_morning,True
2025-09-15T11:29:07+05:30,11290702,_apple-mobdev._tcp.local.,192.168.1.3,custom_header_morning,True
2025-09-15T11:29:07+05:30,11290703,facebook.com.,192.168.1.4,custom_header_morning,True
2025-09-15T11:29:07+05:30,11290704,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.5,custom_header_morning,True
2025-09-15T11:29:07+05:30,11290705,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.1,custom_header_morning,True
2025-09-15T11:29:10+05:30,11291006,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.2,custom_header_morning,True
2025-09-15T11:29:11+05:30,11291107,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.3,custom_header_morning,True
2025-09-15T11:29:11+05:30,11291108,amazon.com.,192.168.1.4,custom_header_morning,True
2025-09-15T11:29:12+05:30,11291209,_apple-mobdev._tcp.local.,192.168.1.5,custom_header_morning,True
2025-09-15T11:29:12+05:30,11291210,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.1,custom_header_morning,True
2025-09-15T11:29:12+05:30,11291211,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.2,custom_header_morning,True
2025-09-15T11:29:12+05:30,11291212,twitter.com.,192.168.1.3,custom_header_morning,True
2025-09-15T11:29:13+05:30,11291313,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.4,custom_header_morning,True
2025-09-15T11:29:13+05:30,11291314,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.5,custom_header_morning,True
2025-09-15T11:29:13+05:30,11291315,_apple-mobdev._tcp.local.,192.168.1.1,custom_header_morning,True
2025-09-15T11:29:13+05:30,11291316,_apple-mobdev._tcp.local.,192.168.1.2,custom_header_morning,True
2025-09-15T11:29:13+05:30,11291317,wikipedia.org.,192.168.1.3,custom_header_morning,True
2025-09-15T11:29:13+05:30,11291318,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.4,custom_header_morning,True
2025-09-15T11:29:13+05:30,11291319,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.5,custom_header_morning,True
2025-09-15T11:29:13+05:30,11291320,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.1,custom_header_morning,True
2025-09-15T11:29:13+05:30,11291321,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.2,custom_header_morning,True
2025-09-15T11:29:13+05:30,11291322,stackoverflow.com.,192.168.1.3,custom_header_morning,True
