ts_iso,client_ip,header,qname,qtype,answers,source
2025-09-07T00:18:35,127.0.0.1,00183500,_apple-mobdev._tcp.local.,12,"192.168.1.11",custom_header_night
2025-09-07T00:18:35,127.0.0.1,00183501,_apple-mobdev._tcp.local.,12,"192.168.1.12",custom_header_night
2025-09-07T00:18:35,127.0.0.1,00183502,bing.com.,1,"192.168.1.13",custom_header_night
2025-09-07T00:18:35,127.0.0.1,00183503,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.14",custom_header_night
2025-09-07T00:18:35,127.0.0.1,00183504,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.15",custom_header_night
2025-09-07T00:18:35,127.0.0.1,00183505,example.com.,1,"192.168.1.11",custom_header_night
2025-09-07T00:18:36,127.0.0.1,00183606,amazon.com.,1,"192.168.1.12",custom_header_night
2025-09-07T00:18:36,127.0.0.1,00183607,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.13",custom_header_night
2025-09-07T00:18:36,127.0.0.1,00183608,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.14",custom_header_night
2025-09-07T00:18:36,127.0.0.1,00183609,yahoo.com.,1,"192.168.1.15",custom_header_night
2025-09-07T00:18:36,127.0.0.1,00183610,_apple-mobdev._tcp.local.,12,"192.168.1.11",custom_header_night
2025-09-07T00:18:37,127.0.0.1,00183711,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.12",custom_header_night
2025-09-07T00:18:37,127.0.0.1,00183712,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.13",custom_header_night
2025-09-07T00:18:37,127.0.0.1,00183713,google.com.,1,"192.168.1.14",custom_header_night
2025-09-07T00:18:37,127.0.0.1,00183714,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.15",custom_header_night
2025-09-07T00:18:37,127.0.0.1,00183715,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.11",custom_header_night
2025-09-07T00:18:37,127.0.0.1,00183716,_apple-mobdev._tcp.local.,12,"192.168.1.12",custom_header_night
2025-09-07T00:18:37,127.0.0.1,00183717,_apple-mobdev._tcp.local.,12,"192.168.1.13",custom_header_night
2025-09-07T00:18:37,127.0.0.1,00183718,github.com.,1,"192.168.1.14",custom_header_night
2025-09-07T00:18:38,127.0.0.1,00183819,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.15",custom_header_night
2025-09-07T00:18:38,127.0.0.1,00183820,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.11",custom_header_night
2025-09-07T00:18:38,127.0.0.1,00183821,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.12",custom_header_night
2025-09-07T00:18:38,127.0.0.1,00183822,Brother MFC-7860DW._pdl-datastream._tcp.local.,33,"192.168.1.13",custom_header_night
